Pos,Piloto,Equipo,Pts
1,  M Alonso,HIS,26
2,  K Perrot,FER,18
3,  C Barbieri,FER,15
4,  P Menarguez,WAT,12
5,  L Mansell,CRB,10
6,  R Brundle,CRB,8
7,  S Belmonte,AZM,6
8,  B Rios,HIS,4
9,  M Walker,AZM,2
10,  A Garcia,DAD,1
11,  B Menarguez,DAD,0
12,  N Taylor,SAR,0
13,  N Turan,SAR,0
14,  H Alonso,WAT,0
1,  L Mansell,CRB,25
2,  G da Silva,CRB,18
3,  K Perrot,FER,15
4,  P Menarguez,WAT,12
5,  H Alonso,WAT,10
6,  C Barbieri,FER,8
7,  I Ruiz,HIS,7
8,  J Torres,HIS,4
9,  A Garcia,DAD,2
10,  G Nieto,SAR,1
11,  V Garcia,AZM,0
12,  B Menarguez,DAD,0
13,  O Martin,SAR,0
14,  P Pinto,AZM,0
1,G da Silva,CRB,25
2,L Mansell,CRB,18
3,P Menarguez,WAT,15
4,H Alonso,WAT,12
5,J Torres,HIS,10
6,K Perrot,FER,8
7,I Ruiz,HIS,6
8,C Barbieri,FER,5
9,G Nieto,SAR,2
10,O Martin,SAR,1
11,V Garcia,AZM,0
12,P Pinto,AZM,0
13,A Garcia,DAD,0
14,B Menarguez,DAD,0
1,  A Çakıcı,FER,25
2,  M Alonso,HIS,18
3,  K Perrot,FER,15
4,  L Jones,SAR,12
5,  L Mansell,CRB,10
6,  N Turan,SAR,9
7,  R Brundle,CRB,6
8,  P Menarguez,WAT,4
9,  B Rios,HIS,2
10,  H Alonso,WAT,1
11,  S Belmonte,AZM,0
12,  M Walker,AZM,0
13,  A Garcia,DAD,0
14,  B Menarguez,DAD,0
1,  C Barbieri,FER,25
2,  K Perrot,FER,19
3,  N Taylor,SAR,15
4,  B Rios,HIS,12
5,  J Torres,HIS,10
6,  N Turan,SAR,8
7,  L Mansell,CRB,6
8,  P Pinto,AZM,4
9,  G da Silva,CRB,2
10,  P Menarguez,WAT,1
11,  H Alonso,WAT,0
12,  B Menarguez,DAD,0
13,  V Garcia,AZM,0
14,  A Garcia,DAD,0
1,  K Perrot,FER,25
2,  C Barbieri,FER,18
3,  P Menarguez,WAT,15
4,  H Alonso,WAT,12
5,  P Pinto,AZM,10
6,  G da Silva,CRB,8
7,  L Mansell,CRB,6
8,  V Garcia,AZM,4
9,  N Turan,SAR,2
10,  N Taylor,SAR,1
11,  B Rios,HIS,0
12,  B Menarguez,DAD,0
13,  J Torres,HIS,0
14,  A Garcia,DAD,0
1,  M Alonso,HIS,26
2,  P Menarguez,WAT,18
3,  K Perrot,FER,15
4,  C Barbieri,FER,12
5,  H Alonso,WAT,10
6,  B Rios,HIS,8
7,  N Turan,SAR,6
8,  N Taylor,SAR,4
9,  L Mansell,CRB,2
10,  G da Silva,CRB,1
11,  A Garcia,DAD,0
12,  P Pinto,AZM,0
13,  B Menarguez,DAD,0
14,  V Garcia,AZM,0
1,  A Çakıcı,FER,25
2,  T Moss,FER,19
3,  P Perez,WAT,15
4,  N Turan,SAR,12
5,  P Menarguez,WAT,10
6,  L Jones,SAR,8
7,  M Alonso,HIS,6
8,  B Rios,HIS,4
9,  R Brundle,CRB,2
10,  L Mansell,CRB,1
11,  S Belmonte,AZM,0
12,  M Walker,AZM,0
13,  A Garcia,DAD,0
14,  B Menarguez,DAD,0